Date,Non-HTTPS URLs,HTTPS URLs
2026-08-28,0,33
2026-08-29,0,34
2026-08-30,0,36
2026-08-31,0,38
2026-09-01,0,38
2026-09-02,0,40
2026-09-03,0,45
2026-09-04,0,45
2026-09-05,0,46
2026-09-06,0,46
2026-09-07,0,46
2026-09-08,0,46
