Reason,Source,Validation,Pages
Not found (404),Website,Not Started,44
Alternate page with proper canonical tag,Website,Not Started,9
Page with redirect,Website,Not Started,5
Excluded by ‘noindex’ tag,Website,Not Started,1
Discovered - currently not indexed,Google systems,Not Started,31
Crawled - currently not indexed,Google systems,Not Started,1
