Date,Not indexed,Indexed,Impressions
2026-08-26,,,0
2026-08-27,,,0
2026-08-28,104,55,4
2026-08-29,91,71,9
2026-08-30,91,71,13
2026-08-31,91,71,25
2026-09-01,91,71,46
2026-09-02,91,71,105
2026-09-03,91,71,113
2026-09-04,91,71,91
2026-09-05,93,71,99
2026-09-06,93,71,68
2026-09-07,93,71,91
2026-09-08,93,71,89
2026-09-09,93,71,121
2026-09-10,93,71,91
2026-09-11,93,71,65
2026-09-12,93,71,50
2026-09-13,93,71,53
2026-09-14,93,71,91
