Date,Affected pages
2026-08-28,101
2026-08-29,31
2026-08-30,31
2026-08-31,31
2026-09-01,31
2026-09-02,31
2026-09-03,31
2026-09-04,31
2026-09-05,32
2026-09-06,32
2026-09-07,32
2026-09-08,32
2026-09-09,32
2026-09-10,32
2026-09-11,32
2026-09-12,32
2026-09-13,32
2026-09-14,32
