Pays,Clics,Impressions,CTR,Position
Maroc,1,180,0.56%,26.38
États-Unis,0,3,0%,5.33
Canada,0,3,0%,26
Belgique,0,2,0%,9
Pays-Bas,0,2,0%,9
Burkina Faso,0,2,0%,11
France,0,2,0%,67
Togo,0,1,0%,4
Mali,0,1,0%,6
Bénin,0,1,0%,9
Suisse,0,1,0%,9
Espagne,0,1,0%,10
République démocratique du Congo,0,1,0%,11
Indonésie,0,1,0%,53
Inde,0,1,0%,78
