Date,Clics,Impressions,CTR,Position
2026-08-26,0,0,,
2026-08-27,0,0,,
2026-08-28,0,4,0%,4
2026-08-29,0,9,0%,37.6
2026-08-30,0,13,0%,45
2026-08-31,0,25,0%,45
2026-09-01,0,46,0%,9.3
