Date,Non indexées,Dans l'index,Impressions
2026-08-26,,,0
2026-08-27,,,0
2026-08-28,104,55,4
2026-08-29,91,71,9
2026-08-30,91,71,13
2026-08-31,91,71,25
2026-09-01,91,71,46
2026-09-02,91,71,105
2026-09-03,91,71,113
2026-09-04,91,71,91
