Raison,Source,Validation,Pages
Introuvable (404),Site Web,Non commencé,44
Autre page avec balise canonique correcte,Site Web,Non commencé,9
Page avec redirection,Site Web,Non commencé,5
"Exclue par la balise ""noindex""",Site Web,Non commencé,1
"Détectée, actuellement non indexée",Systèmes Google,Non commencé,31
"Explorée, actuellement non indexée",Systèmes Google,Non commencé,1
