Date,Invalid,Valid
2026-08-27,0,5
2026-08-28,0,34
2026-08-29,0,34
2026-08-30,0,36
2026-08-31,0,36
2026-09-01,0,37
2026-09-02,0,43
2026-09-03,0,43
2026-09-04,0,44
2026-09-05,0,44
2026-09-06,0,44
2026-09-07,0,44
2026-09-08,0,44
2026-09-09,0,44
2026-09-10,0,44
2026-09-11,0,44
