Date,Affected pages
2026-08-28,0
2026-08-29,5
2026-08-30,5
2026-08-31,5
2026-09-01,5
2026-09-02,5
2026-09-03,5
2026-09-04,5
2026-09-05,7
2026-09-06,7
2026-09-07,7
2026-09-08,7
2026-09-09,7
2026-09-10,7
2026-09-11,7
2026-09-12,7
2026-09-13,7
2026-09-14,7
